modelo,k,inertia,silhouette_score
kmeans_k2,2,14330.11981133549,0.21372996335560532
kmeans_k3,3,12629.974591732647,0.18920406811177048
kmeans_k4,4,11459.143676155818,0.17163618556293037
kmeans_k5,5,10155.509584727097,0.1901392066374596
