k,inertia,silhouette_score
2,14330.119811335491,0.21372996335560532
3,12629.974591732647,0.18920406811177048
4,11459.143676155818,0.17163618556293037
5,10155.509584727097,0.1901392066374596
6,9363.206701235824,0.1947292293532641
